Tweet,Value
"@lopezobrador_ MI PRESIDENTE.
#VOYMORENA2018",1
"@lopezobrador_ No cuentes conmigo, estaré con Elenita y las juchitecas empanzonándonos von cerveza, pero les deseo suerte.",-1
@lopezobrador_ Es honor seguirlo @lopezobrador_,1
@lopezobrador_ ¡Arriba PEJE!.... Vamos por la PRESIDENCIA... a ver que sale... https://t.co/jsCra4gEBB,1
@lopezobrador_ #AMLO2018.. PRESIDENTE..,1
@lopezobrador_ Pongase a trabajar viejito chocho,-1
@lopezobrador_ No dodo que sea muy bonito. Pero ¿TÚ QUE CHINGADA MADRE SABES DE CULTURA SI NI HABAR BIEN EL ESPAÑOL PUEDES? Eres un pendejo. Y tu secretaria de turismo se dormía en juntas.,-1
@lopezobrador_ Vamos con el Mejor ALCALDE DEL MUNDO y por su Gran HONESTIDAD Y CALIDAD MORAL.. Por eso.. #MiVotoParaAMLO,1
"@lopezobrador_ Bonito lugar, lástima que a los #CentaverosDelPRIAN solo le interese las cantinas de malamuerte. En otro tema, Elenita mencionó ""panzonas e inmensas"" y los cobardes PRIANistas ladraron ""panzonas y mensas"", así de  bestias. #FelizFinde a tod@s.",0
"@lopezobrador_ @JohnMAckerman Hay Ackerman, según tu muy legal. Ves esta en campaña eterna tu mesías. que se espera de alguien que funda su propio partido, se autodelara presidente y próximamente candidato",-1
@lopezobrador_ y cual es la novedad?,0
"@lopezobrador_ Peje que si eres lagarto, que mentiroso eres, ya la je te no te cree",-1
"@lopezobrador_ No entiendo por qué, el que no está con AMLO, lo tratan de clasista y que odia uno a @lopezobrador_ ... El que no coincida con él no me hace peor persona. 
Y tengo una duda...de dónde saca el recurso económico para hacer sus viajes este señor?",-1
@lopezobrador_  https://t.co/UI5VxcwHgO,0
"@lopezobrador_ Dirán misa pero AMLO el mejor candidato y no lo digo yo, lo dicen  encuestas, redes sociales y medios internacionales  ....pese a quien le pese....Es el mejor.....",1
"@lopezobrador_ Don Andrés Manuel, invíteme formar parte de  su cuerpo de colaboradores , sin contraprestación alguna , tengo amplia experiencia en algunas materias , y puedo aportarle ideas y proyectos  objetivos.",1
@lopezobrador_ Sus dizque intelectuales son kk. Los demás de mugrena son albañiles,-1
@lopezobrador_ sólo quiere títeres q voten por él y  los olvidará si consigue lo que quiere. Ese demente SÓLO USA a la gente y la desecha.,-1
@lopezobrador_ Andrés excelente Pero déjame  darte un consejo   Reúne Empresarios por regiones ejemplo de Oaxaca Guerrero y Chiapas p q propongan su plan  Reúne empresarios d Sonora Chihuahua Coahuila Tamaulipas p q t propongan su plan y así sucesivamente   Regiones diferentes planes acordes,0
"@lopezobrador_ Surrealista es que la gente idiota piense que AMLO es un cambio, cuando fue un porro q se afilia al Pri cuando había una persecución vs todo aquel q se manifestara vs el sistema.
Hay que ser cortito muy cortito para apoyar a PRIMOR.🐖🐷🐽",-1
@lopezobrador_ Con todo AMLO . CONFIA EN DIOS NUESTRO REDENTOR.,1
@lopezobrador_ De oquis,0
