Tweet,Value
"Si gano, habrá diario junta de gabinete de seguridad y Presidencia itinerante: #AMLO → https://t.co/ob8e8OWm0i
@lopezobrador_ https://t.co/2ioQVP45i1",0
"Mientras @lopezobrador_ disfraza a sus candidatos de “coordinadores”, mete recursos en @INEMexico contra “campañas anticipadas”.  De risa 😂",-1
Dos ocurrencias de @lopezobrador_ . Así piensa gobernar? https://t.co/VKOpJefjZo,-1
".@lopezobrador_ “es el viejo PRI”, señala el senador panista @JCRomeroHicks https://t.co/KNMXM6Qu3Z #Xalapa https://t.co/uOqOg1vRVG",-1
".@lopezobrador_ “es el viejo PRI”, señala el senador panista @JCRomeroHicks https://t.co/MHycpmRoQa #Xalapa https://t.co/GPEdvHCLwp",-1
@Reporte_Indigo @RicardoMonrealA @lopezobrador_ Quien da mas esta de oferta tiene muchas mañas y experiencia para burlar al mexicano robo transa cambia de ideologia como de calzones,-1
@Andromeda39 @PrincessPrian @lopezobrador_ @TorrucoTurismo La burra no era arisca la hicieron,-1
@lopezobrador_ ¿Por que ya no viajas en Tsuru? ¿Te da pena? Te ves más cómodo como viajas ahora. Ya devuelve ese dinero. 🤥🐷🐀,-1
@Andromeda39 @PrincessPrian @lopezobrador_ @TorrucoTurismo Mínimo aceptas Qué es un alcohólico pero es un alcohólico muy peligroso porque es un alcohólico asesino,-1
"@adriangtzavila @Uportillo @Giloforo @lopezobrador_ @ferbelaunzaran @MovCiudadanoJal @VicenteFoxQue Yo también voté por el hoy payaso @VicenteFoxQue, y ya me la aprendí. Si hoy dejas fuera a AMLO te quedas con, opciones con posibilidades reales, continuidad al PRI (que uno pensaría es tu  primer ""x quién no votaré, pero cada quién), o vuelta al PAN que regresó al PRI",1
"@lopezobrador_ Jajajaja, che Ruco ahora sí me hiciste reír, en 2006, en 2012 y ahora,  dices los mismo, y al final, pierdes. Acéptalo! eres loser for ever.",-1
@Andromeda39 @PrincessPrian @lopezobrador_ @TorrucoTurismo Tú no tienes ningún nivel de intelecto si lo tuvieras no serías aplaudidora de un narco gobierno.,-1
"@TorrucoTurismo O sea, ella tiene los estudios que a @lopezobrador_ le faltan? Mejor que se postule ella.",0
RT @victorhbecerra: .@lopezobrador_ promete que no habrá censura y bla bla bla pero seguidores ansían acallar todo lo que les molesta. Y no…,-1
"@YordiPontier @econokafka @lopezobrador_ Más de un millón de personas marchamos, se burló de nosotros, nos dijo pirrurris, en la marcha habían víctimas d todos los estratos sociales pero al señor no le importamos",-1
